type;titre;date_debut;date_fin;lieu;precision;importance
regroupement;Regroupement groupe performance Nord-Est;2026-01-24;2026-01-24;Châteaubriant (44);;moyenne
championnat;Championnat régional salle Para;2026-01-31;2026-01-31;Daumeray (49);;haute
championnat;Championnat régional salle jeune;2026-02-01;2026-02-01;Daumeray (49);;haute
championnat;Championnat régional salle adulte;2026-02-07;2026-02-08;La Garnache (85);;haute
coupe;Coupe régionale d’hiver;2026-02-14;2026-02-15;Montoir de Bretagne (44);;haute
france;Championnat de France jeune;2026-02-20;2026-02-22;Moulins;;haute
france;Championnat de France adulte;2026-02-27;2026-02-27;Paris;;haute
tournoi;Tournoi des sirènes et Ulysse;2026-03-08;2026-03-08;Les Sables d’Olonne (85);;moyenne
deadline;Date limite candidature au Championnat régional salle 2027;2026-03-20;2026-03-31;;Fin mars 2026;haute
institutionnel;Lancement calendrier concours salle 2026-2027;2026-04-01;2026-04-10;;Début avril 2026;moyenne
regroupement;Regroupement groupe Jeune Elite + Performance;2026-04-04;2026-04-06;CREPS (44);;moyenne
DRE;1ère manche DRE;2026-04-24;2026-04-24;Nantes (44);;moyenne
TRJ;TRJN n°1;2026-05-02;2026-05-02;Daumeray (49);;moyenne
DRE;2ème manche DRE;2026-05-09;2026-05-10;Daumeray (49);;moyenne
TRJ;TRJN n°2;2026-05-30;2026-05-30;Montaigu (85);;moyenne
DRE;3ème manche DRE;2026-06-14;2026-06-14;Murs Erigné (49);;moyenne
championnat;Championnat régional TAEN & TAEI;2026-06-27;2026-06-28;Carquefou (44);;haute
national;Tournoi National des Mixtes;2026-07-04;2026-07-05;Chennevières-sur-Marne;;moyenne
deadline;Date limite candidature au Championnat régional extérieur 2027;2026-03-20;2026-03-31;;Fin mars 2026;haute
institutionnel;Lancement calendrier concours extérieur 2026-2027;2026-10-01;2026-10-10;;Début octobre 2026;moyenne
appel;Appel à candidature;2026-11-21;2026-11-28;Maine-et-Loire;21 ou 28 novembre 2026;moyenne